plate_number,owner_name,address,vehicle_year,vehicle_make,vehicle_model,vehicle_color,reg_expiry,insurance,insurance_provider,policy_number,fines,fine_amount,is_flagged
BH·MN9357,Brian Glover,"8078 James Orchard, Kimberlyberg, WI 13379",2021,Suzuki,Ertiga,Blue,2030-04-10,Yes,Prime Life Insurance,POL-98813650,3,519,False
SA·KA6405,Teresa Rhodes,"6810 Randolph Spur, West Steventon, CT 68734",2006,Hyundai,Santa Fe,Gold,2025-06-18,Yes,United Insurance,POL-76549837,4,276,False
KO·CHA5521,Nichole Johnson,"3344 Mejia Skyway, West Edwardview, DE 02500",2012,Kia,Seltos,Brown,2028-06-20,Yes,Himalayan General Insurance,POL-20580463,1,255,False
JA·GA8266,Kristin Garcia,"2493 Charles Ridge Suite 870, North Thomas, TX 07114",2020,Ford,Endeavour,Silver,2026-06-12,No,,,0,0,False
BA·GA1589,Anthony Simmons,"545 Jennifer Skyway Apt. 792, Port Leahmouth, CT 60215",2014,Mahindra,XUV300,Maroon,2029-07-01,Yes,United Insurance,POL-55748676,0,0,True
LU·GA7545,Matthew Miranda,"94562 Mccormick Islands, Freemanland, NJ 15297",2024,Tata,Altroz,Gold,2030-01-11,Yes,United Insurance,POL-25303956,0,0,False
BA·JA5918,Joel Jackson,"161 Hawkins Cliffs, Amandafurt, OR 54691",2016,Kia,Rio,Brown,2026-08-08,Yes,United Insurance,POL-28850770,4,960,False
JA·JA3309,David Moore,"3966 Stephens Freeway, Lake Elizabeth, WA 93812",2011,Suzuki,Swift,Green,2027-06-01,Yes,Sagarmatha Insurance,POL-65629268,0,0,False
SA·MN2118,Katelyn Vargas,"2461 Gina Ranch, Murphyton, CO 29023",2023,Ford,Figo,Maroon,2027-02-06,Yes,Nepal Insurance Co.,POL-81184297,3,573,False
DH·HA8428,Stacy Berger,"27846 Gonzalez Springs, Kevinport, PW 57481",2010,Hyundai,Venue,Gold,2027-01-24,No,,,2,410,False
SE·HA6959,Suzanne Mooney,"40580 Jacqueline View Suite 140, South Jacqueline, MO 82449",2017,Mahindra,XUV700,Red,2027-12-30,Yes,Everest Insurance,POL-28546206,0,0,False
BH·MN4997,James James,"2386 Larsen Drives, Whitneyberg, DC 02021",2025,Chevrolet,Trax,Brown,2025-03-02,Yes,Shikhar Insurance,POL-56344519,5,415,False
SA·CHA8355,Alan Griffith,"12679 Hanson Motorway Suite 876, Jeremiahchester, PA 01474",2016,Chevrolet,Trax,Silver,2029-08-12,Yes,Prime Life Insurance,POL-81659221,0,0,False
RA·PA8664,Sarah Young,"950 Ashley Squares Suite 197, East Jessicahaven, PR 98881",2009,Honda,Civic,Green,2026-01-10,No,,,3,273,False
SA·JA2499,Julie Miller,"71894 Rebecca Place, South Shawnfort, OK 96683",2022,Toyota,Yaris,Gray,2023-10-22,No,,,4,956,False
LU·KA9295,Harry Levine,"94940 Lane Ports, Lake Veronicatown, LA 64039",2014,Nissan,Sentra,Brown,2026-08-11,Yes,Prime Life Insurance,POL-65910573,5,1495,False
SE·PA312,Jonathan York,"444 Judith Rapids, New Joanne, TN 59044",2019,Kia,Sportage,Gold,2029-11-24,Yes,Prabhu Insurance,POL-88971743,1,204,False
BH·CHA4919,Christopher Patton,"051 Caitlin View, Port Tyler, MT 50723",2007,Ford,Ranger,Maroon,2025-05-15,Yes,Sagarmatha Insurance,POL-60626689,0,0,False
GA·CHA2736,Jeremiah Walsh,"41027 Alvarez Mountains Apt. 667, Dustinchester, AL 38353",2015,Mahindra,Bolero,White,2027-03-20,No,,,5,1010,True
SA·MN5034,Joan Gregory,"USS Davis, FPO AP 84049",2016,Ford,F-150,Brown,2024-07-24,Yes,Everest Insurance,POL-79874593,0,0,False
PG·MN8898,Ryan Bishop,"4414 Murray Spring Apt. 938, Ericaburgh, MD 72277",2012,Nissan,Altima,Blue,2030-01-24,Yes,Prabhu Insurance,POL-49402883,0,0,False
SE·HA9296,Adam Jones,"753 King Bypass, New Christopherborough, PA 84135",2016,Toyota,Corolla,Maroon,2029-12-12,Yes,Siddhartha Insurance,POL-42725927,5,1120,False
PG·GA1957,Tyler Miller,"921 Jon Mountain Apt. 746, Jonathanland, KY 08678",2014,Nissan,Kicks,Brown,2023-06-12,Yes,Prabhu Insurance,POL-79029393,4,656,False
GA·KA3254,Gary Brown,"USNV Thompson, FPO AE 64951",2008,Tata,Altroz,Silver,2023-05-09,No,,,0,0,False
RA·CHA7050,Christina Long,"86391 Baldwin Cove, North Chadview, WI 58943",2018,Honda,Accord,Brown,2026-10-01,Yes,Everest Insurance,POL-13188066,1,134,True
JA·PA3016,Jonathan Delgado,"642 Conway Ports, New Jasminefort, NJ 57655",2023,Kia,Rio,Silver,2027-10-18,Yes,United Insurance,POL-94586329,0,0,False
PG·KA2038,Nicholas Burnett,"67198 Cook Hollow, Brownland, MN 70575",2024,Chevrolet,Malibu,Maroon,2026-02-01,Yes,Sagarmatha Insurance,POL-58009699,5,385,False
SA·JA1517,Gina Randall,"328 Tammy Shore Apt. 461, Tommouth, WA 25334",2017,Kia,Sonet,Green,2026-07-09,Yes,Lumbini General Insurance,POL-39509878,0,0,False
RA·GA9041,Corey Cortez,"1847 Levy Brook Apt. 505, South Davidhaven, NH 89378",2025,Kia,Sportage,Red,2026-05-29,Yes,Lumbini General Insurance,POL-28974879,0,0,True
DH·HA8900,Kimberly Figueroa,"27079 John Run, North Gerald, AR 40784",2011,Chevrolet,Malibu,Red,2028-04-10,Yes,Lumbini General Insurance,POL-29120002,0,0,False
GA·CHA1977,Anne Carr,"17993 Linda Meadow, Lisafurt, MD 16334",2006,Hyundai,Venue,Gold,2029-06-04,Yes,Lumbini General Insurance,POL-19817298,0,0,True
JA·CHA9612,Laura Taylor,"92511 Thomas Mall, Lake Mitchell, GA 57997",2009,Ford,Endeavour,Blue,2027-08-30,No,,,2,560,False
ME·HA5479,Kevin Anderson,"07100 Sara Squares Suite 672, East Danielle, NC 59538",2009,Mahindra,Bolero,Gold,2028-05-22,Yes,Prime Life Insurance,POL-32634412,0,0,False
LU·KA7245,Todd Bishop,"791 Bailey Avenue, East David, NC 13042",2015,Kia,Carnival,Black,2028-12-09,Yes,Shikhar Insurance,POL-75360192,1,94,False
JA·GA4697,Shari Hatfield,"340 Daniel Drive Suite 722, North Deannaport, IL 57474",2013,Hyundai,Santa Fe,Gray,2029-11-10,No,,,0,0,True
SE·KA611,Luis Wu,"082 Kristen Oval, North Pattymouth, OR 76491",2023,Mahindra,XUV300,Green,2026-02-19,Yes,Lumbini General Insurance,POL-82434236,1,248,False
PG·CHA9760,Cristian Rhodes,"3136 Nicholas Forges, South Brendaton, FM 57630",2021,Kia,Sportage,Beige,2028-07-27,Yes,Nepal Insurance Co.,POL-98943201,0,0,False
DH·KA2817,Timothy Gibson,"3543 Martinez Square, West Derekmouth, NH 55318",2010,Chevrolet,Cruze,Beige,2025-07-10,Yes,United Insurance,POL-58156722,0,0,False
LU·PA4431,Greg Tanner,"831 Vincent Overpass, New Thomas, NH 37092",2011,Tata,Harrier,White,2028-05-15,Yes,United Insurance,POL-16232730,0,0,False
JA·KA8642,Jeffrey Salas,"392 Robert Cape Apt. 780, Schmidtfort, AS 91812",2022,Kia,Carnival,Gold,2028-06-16,Yes,Prabhu Insurance,POL-88876916,2,526,True
GA·HA3751,Jodi Allen,"632 Phillips Rue, North Timothyport, GA 92684",2016,Chevrolet,Equinox,Blue,2029-01-18,Yes,Nepal Insurance Co.,POL-77355419,4,648,False
JA·MN4700,Kelly Silva,"Unit 7262 Box 5701, DPO AA 91039",2010,Suzuki,Dzire,Black,2027-01-04,Yes,Prime Life Insurance,POL-54322017,3,519,False
ME·CHA9779,Andrew Simmons,"195 Zachary Spring, Pamelaville, MS 48419",2005,Hyundai,Venue,Green,2025-08-17,Yes,Everest Insurance,POL-28082355,2,120,False
NA·PA2825,Andrew Richardson,"325 Amber Run, Mclaughlinshire, VI 92624",2017,Kia,Sportage,Brown,2029-07-04,Yes,Shikhar Insurance,POL-21508969,0,0,False
ME·GA7991,Patrick Perez,"640 Nathan Mission Suite 881, Mckinneyside, MH 38808",2024,Hyundai,Creta,Green,2025-04-28,Yes,Lumbini General Insurance,POL-45503367,0,0,False
ME·MN9776,Jacob Nunez,"71162 Mullen Club, East Joshuaberg, NM 20227",2017,Honda,Accord,Green,2026-04-02,Yes,Lumbini General Insurance,POL-66343932,4,820,False
ME·MN9927,Kelly Burton,"5670 Lopez Brooks, Port Stacey, SD 44525",2020,Toyota,Corolla,Silver,2029-09-23,Yes,Nepal Insurance Co.,POL-97138408,0,0,False
BA·KA8780,Grant Lucas,"4924 Kristina Forks Suite 540, West Justin, GA 81586",2017,Nissan,Sentra,Beige,2030-04-02,Yes,Prime Life Insurance,POL-27969486,0,0,False
JA·JA9902,Michelle Mitchell,"Unit 2231 Box 0592, DPO AA 34633",2011,Chevrolet,Equinox,Red,2026-04-21,Yes,Sagarmatha Insurance,POL-79761254,0,0,False
BH·GA5275,Daniel Mann,"57828 Martinez Burg Suite 727, Ericside, NY 43922",2009,Nissan,Kicks,Silver,2029-08-17,Yes,Lumbini General Insurance,POL-66849468,2,412,False
SA·HA3437,Elizabeth Kemp,"Unit 9297 Box 5170, DPO AE 89368",2020,Nissan,Navara,Brown,2023-08-19,Yes,Shikhar Insurance,POL-87531025,0,0,False
BH·CHA2051,Elizabeth Morales,"1509 Brandy Forges Suite 301, Rhodesland, NY 52198",2008,Suzuki,Vitara,Black,2024-02-05,Yes,Lumbini General Insurance,POL-92413089,3,690,True
PG·KA186,Evan Jacobs,"USNV Sanders, FPO AP 56552",2024,Honda,Accord,Beige,2026-09-15,Yes,Prabhu Insurance,POL-20742751,2,470,False
PG·MN8636,Jake Mitchell,"137 Lara Heights Apt. 662, East Jaredfort, VI 69353",2010,Kia,Rio,White,2028-10-22,No,,,4,1152,False
GA·CHA650,Mrs. Toni Avila,"462 Page Throughway Apt. 326, Angelaton, GU 40083",2012,Mahindra,XUV300,Brown,2030-02-15,No,,,0,0,True
NA·PA4620,Elizabeth Hansen,"24471 Butler Overpass, North David, KY 65126",2017,Nissan,Kicks,Maroon,2027-06-21,Yes,Sagarmatha Insurance,POL-22101856,1,235,False
DH·JA5793,Andrea Reese DDS,"715 Megan Estates Apt. 257, West Frank, KY 47839",2011,Kia,Sportage,Gold,2028-08-11,Yes,Shikhar Insurance,POL-33492771,0,0,False
JA·MN4921,Thomas Kelly,"321 Amy Well, Margaretport, KY 90343",2013,Tata,Nexon,Brown,2029-07-27,Yes,United Insurance,POL-60610858,2,494,False
KO·GA7617,Heidi Ferguson,"28457 Peterson Estates, East Ericbury, MP 25197",2020,Ford,F-150,White,2025-12-18,Yes,Himalayan General Insurance,POL-40860700,4,620,False
SE·MN259,Kristin Norris,"USS Butler, FPO AE 15779",2007,Kia,Sportage,Red,2028-04-06,No,,,5,855,False
LU·MN4508,Tammy Mendoza,"79852 Johnson Via Apt. 322, West David, DC 10803",2011,Hyundai,Venue,Maroon,2027-06-19,Yes,Himalayan General Insurance,POL-45622106,0,0,False
LU·GA5933,Phillip Rodriguez,"0310 Taylor Glen Apt. 140, Port Davidborough, OR 26718",2007,Hyundai,Tucson,Silver,2030-01-24,Yes,Nepal Insurance Co.,POL-82675403,5,1335,False
DH·JA8166,Gregory Davis,"552 William Cliff Apt. 908, Lake James, LA 23015",2010,Mahindra,Bolero,Beige,2029-03-18,Yes,Himalayan General Insurance,POL-87398691,0,0,False
PG·HA8959,Kimberly Beltran,"759 Scott Coves, Port Michael, MS 56087",2010,Toyota,Land Cruiser,Green,2027-01-08,Yes,United Insurance,POL-52365995,3,159,False
PG·MN1750,Darren Rodriguez,"Unit 1718 Box 2754, DPO AP 95152",2013,Tata,Punch,Gold,2024-11-13,Yes,United Insurance,POL-92286747,0,0,False
PG·CHA6966,Garrett Wilson,"738 Roberts Walk Suite 317, Harryfort, TX 14286",2013,Tata,Punch,Green,2029-07-20,No,,,2,216,False
BH·JA3963,Joseph Rhodes,"9121 Hester Junction Apt. 961, Port Roger, NM 37006",2011,Chevrolet,Equinox,Green,2025-07-03,Yes,Nepal Insurance Co.,POL-33703827,0,0,False
SA·MN8848,Pamela Wheeler,"7967 Hernandez Motorway Apt. 147, Hallberg, AK 13556",2013,Tata,Safari,Red,2029-07-12,No,,,0,0,False
LU·GA4266,Sandra Jimenez,"9524 Kathleen Shore, Sparksborough, LA 87282",2015,Ford,Ecosport,Beige,2028-05-13,Yes,Shikhar Insurance,POL-56189726,0,0,False
SA·MN3359,Mr. Joshua Pacheco MD,"1675 Ramos Camp, East Angelaport, FM 93045",2025,Mahindra,XUV300,Maroon,2027-12-10,Yes,Lumbini General Insurance,POL-75430302,3,492,False
PG·MN4794,Jeffrey Edwards,"788 Alvarez Walk, New Brian, KS 65341",2025,Ford,Ranger,Black,2028-03-27,Yes,Siddhartha Insurance,POL-86723896,0,0,False
JA·CHA5729,Jamie Rhodes,"0090 Mary Keys Apt. 561, Reedstad, MT 46542",2025,Suzuki,Baleno,Blue,2027-11-05,Yes,Prime Life Insurance,POL-46406303,4,996,False
KO·KA9716,David Young,"141 Jackson Plain, Benjaminchester, OK 67971",2010,Chevrolet,Equinox,Green,2026-03-19,No,,,0,0,False
BH·KA1411,Deborah Dominguez,"9659 Lindsey Courts Apt. 578, Garrettport, MN 57647",2008,Suzuki,Dzire,Green,2023-09-09,Yes,Nepal Insurance Co.,POL-63286118,1,71,False
DH·CHA1481,Mark Dickson,"4049 Ballard Road, Lake Meganville, OR 44651",2012,Nissan,Kicks,Gray,2028-10-30,Yes,Everest Insurance,POL-80698159,4,228,True
KO·GA5428,Keith Schmidt,"48468 Gonzalez Locks Suite 987, North Courtney, NC 24951",2013,Ford,Figo,Brown,2027-02-07,Yes,Lumbini General Insurance,POL-33761455,2,332,False
SA·MN7226,Christy Hayden,"8969 Alexa Lakes Suite 232, Meganchester, MD 08945",2016,Chevrolet,Spark,Red,2027-08-15,Yes,United Insurance,POL-51321368,0,0,False
GA·PA101,Sarah Adams,"9363 Edward Burgs, Port Margaret, NH 64121",2014,Chevrolet,Cruze,Blue,2026-05-24,Yes,United Insurance,POL-74030858,0,0,False
RA·JA9881,Jessica Lucas,"2044 Dawn Canyon, Caseyton, VI 11501",2016,Suzuki,Swift,Brown,2023-11-22,Yes,Everest Insurance,POL-96703417,0,0,False
GA·PA7017,Edward Brown,"USNV Powers, FPO AE 52522",2013,Suzuki,Alto,Gold,2029-04-30,Yes,Prime Life Insurance,POL-35233016,4,384,False
JA·KA7560,Misty Taylor,"984 Wilkerson Freeway, Port Lindsaymouth, MP 77089",2024,Mahindra,Thar,Red,2028-02-22,No,,,0,0,False
NA·PA4722,Renee Manning,"USNS Thomas, FPO AE 28564",2005,Kia,Sportage,Beige,2025-07-01,No,,,0,0,False
RA·GA8265,Jessica King,"515 Wells Gateway Suite 257, Loritown, SD 79906",2015,Tata,Safari,White,2025-07-10,No,,,3,204,False
NA·CHA4197,Patrick Lindsey,"8645 Amanda Freeway, Pricefurt, PW 33994",2012,Nissan,Altima,Silver,2028-10-30,Yes,Nepal Insurance Co.,POL-36733470,1,247,False
SA·CHA7846,Timothy Sherman,"5604 Madeline Overpass, Mclaughlinmouth, VT 55861",2010,Nissan,Kicks,Blue,2026-08-01,Yes,Lumbini General Insurance,POL-79917538,0,0,False
GA·CHA6005,Samantha Holloway,"6985 Neal Track, Lake Darlenemouth, WY 84531",2012,Toyota,Hilux,Silver,2028-03-01,No,,,4,796,False
RA·CHA246,James Fuller,"23829 Sparks Island, Mendozaberg, KS 23239",2009,Toyota,Fortuner,Gold,2026-11-06,Yes,United Insurance,POL-22267708,3,408,False
RA·KA1083,Samantha Marsh,"2669 Andrew Brooks Apt. 173, Jacquelineburgh, AR 53065",2009,Toyota,Land Cruiser,Maroon,2026-12-12,No,,,0,0,False
RA·KA5790,Lindsay Hernandez,"USNS Valentine, FPO AE 02351",2017,Ford,Ranger,White,2027-02-06,Yes,Nepal Insurance Co.,POL-75136149,3,579,False
BH·HA3209,Jessica Mora,"33344 Reyes Meadows Apt. 934, South Henry, WY 19630",2016,Mahindra,XUV700,Brown,2028-12-21,Yes,Siddhartha Insurance,POL-84426456,0,0,False
ME·JA4414,William Young,"9710 Anderson Islands, Mcdanielfurt, VT 55982",2005,Chevrolet,Trax,Beige,2029-03-08,Yes,Everest Insurance,POL-12512536,2,286,False
LU·JA1137,Dawn Davis,"75990 Jon River Suite 465, New Blake, HI 34617",2021,Chevrolet,Equinox,Gray,2029-06-09,No,,,0,0,False
KO·PA1677,Johnathan Morgan,"8624 Lawrence Crossroad, Savageview, WA 47764",2009,Chevrolet,Malibu,White,2026-03-02,Yes,United Insurance,POL-35718350,0,0,False
PG·KA8126,Diane Mcdowell,"562 Doyle Overpass Apt. 870, East Brian, HI 05201",2013,Chevrolet,Spark,Gold,2025-02-07,Yes,Sagarmatha Insurance,POL-11756387,5,515,False
JA·HA1094,Christopher Mcdonald,"75877 Rodriguez Stravenue Apt. 151, Port Justin, MP 22559",2016,Tata,Altroz,Green,2026-09-03,Yes,Shikhar Insurance,POL-81003974,0,0,True
GA·PA3637,Samantha Elliott,"089 Robert Club, Port Tyler, CT 43578",2012,Chevrolet,Malibu,Silver,2027-05-30,No,,,2,390,False
NA·MN9244,Michael Becker,"2017 Gibson Grove, West Taramouth, MD 96386",2023,Nissan,Altima,Maroon,2028-12-01,Yes,Prime Life Insurance,POL-23972387,0,0,False
PG·MN5629,Dr. Rebecca Anderson DVM,"0189 Davis Glens Apt. 361, Port Jaredfurt, WI 53243",2019,Hyundai,Santa Fe,Gold,2028-02-11,Yes,Prabhu Insurance,POL-59891348,0,0,False
BH·JA4043,Paul Valdez,"4925 Marilyn Passage Apt. 776, Adamschester, CO 99655",2017,Mahindra,XUV300,Gray,2027-10-09,Yes,United Insurance,POL-70062404,5,250,False
GA·MN367,Jacob Lopez,"85732 Rose Rue, West Taylorland, PW 63102",2005,Chevrolet,Cruze,Red,2027-08-04,Yes,Prabhu Insurance,POL-12912708,3,873,False
GA·MN8476,William Sutton,"649 Andrea Cape, New Rogerville, NH 87120",2009,Chevrolet,Spark,Gold,2023-10-06,Yes,Everest Insurance,POL-45566111,0,0,False
LU·JA5020,Robin Kelly,"72260 Robert Squares, Leemouth, WV 88353",2023,Honda,Jazz,Green,2026-10-12,Yes,United Insurance,POL-33206579,1,280,False
DH·GA1662,Robert Peterson,"PSC 2321, Box 9416, APO AP 02849",2023,Mahindra,Bolero,White,2026-08-29,Yes,Prabhu Insurance,POL-56698401,4,644,False
JA·GA3814,Bruce Jackson,"974 Vazquez Spurs Suite 412, North James, GU 02583",2025,Mahindra,Scorpio,Maroon,2028-01-21,Yes,Prabhu Insurance,POL-82468141,2,266,False
LU·CHA927,Chelsea Johnson,"368 Christopher Trail, Hernandezchester, AK 15765",2023,Nissan,Patrol,Gold,2027-08-04,Yes,Prime Life Insurance,POL-29865888,0,0,False
DH·KA907,Christian Park,"USCGC Smith, FPO AA 77207",2007,Chevrolet,Equinox,Red,2028-10-12,Yes,Everest Insurance,POL-28102047,1,100,False
SA·MN3312,Edward Gallegos,"16679 Johnson Locks Suite 899, Hallton, NC 02993",2012,Chevrolet,Spark,Brown,2024-11-06,Yes,Prabhu Insurance,POL-87311859,0,0,False
PG·JA5806,Ethan Brown,"PSC 6717, Box 9576, APO AE 21647",2024,Suzuki,Baleno,Blue,2028-01-21,No,,,0,0,False
RA·HA2489,Corey Cooper,"597 Nicole Stream, Moyerstad, WY 62409",2011,Ford,Ecosport,Gray,2027-03-22,Yes,Sagarmatha Insurance,POL-25082279,3,336,False
NA·GA4813,Sarah Howell,"722 Eric Overpass, Port Robertfort, ME 31266",2014,Toyota,Land Cruiser,Silver,2026-06-22,Yes,Lumbini General Insurance,POL-38437423,0,0,False
GA·MN8013,Anthony Smith,"228 Lindsay Junction Suite 193, New Jeffreyview, MA 47063",2005,Mahindra,XUV700,Maroon,2030-01-24,Yes,Shikhar Insurance,POL-32859916,0,0,False
BH·MN4544,Patricia Hawkins,"PSC 8910, Box 7711, APO AP 80409",2005,Toyota,Fortuner,Maroon,2024-10-27,Yes,Prabhu Insurance,POL-24480943,0,0,False
SA·HA3887,Theresa Colon,"13524 Gill Parks, East Deborahmouth, GU 18559",2015,Nissan,Navara,Silver,2029-09-10,Yes,Everest Insurance,POL-36692577,1,167,False
BH·PA751,Dakota Montes,"75482 Joseph Stravenue, Wardbury, FL 99225",2015,Suzuki,Alto,Red,2027-03-24,No,,,3,420,False
LU·MN4619,Jennifer Perez,"7850 Thomas Branch Apt. 155, Holdenburgh, NE 08557",2005,Toyota,Yaris,Green,2027-12-01,Yes,Prabhu Insurance,POL-62726977,2,144,False
SE·KA3826,Andrew Nielsen,"846 Blackwell Squares, Jennifermouth, PW 45610",2009,Nissan,Sentra,Gold,2028-02-05,Yes,Prabhu Insurance,POL-70286467,1,102,False
DH·MN3414,Douglas Rose,"PSC 6738, Box 9975, APO AP 53520",2009,Hyundai,i20,Brown,2027-02-28,Yes,Siddhartha Insurance,POL-31212832,0,0,False
BH·PA3116,Shirley Miller,"288 Lewis Pass Suite 852, North Pamelaside, OR 34408",2015,Tata,Harrier,White,2028-08-31,Yes,Shikhar Insurance,POL-69459055,3,780,False
BH·JA2589,Raymond Barber,"Unit 1054 Box 8510, DPO AP 16852",2010,Suzuki,Swift,Black,2024-11-05,Yes,Siddhartha Insurance,POL-40992396,2,218,False
KO·PA7908,Kenneth Smith,"998 Michael Haven, Lake Nicholas, WA 32958",2020,Hyundai,Santa Fe,Gold,2028-06-10,No,,,0,0,False
NA·CHA3807,Jose Lee,"26611 Roger Curve Suite 371, Ericafurt, OR 73766",2013,Toyota,Prius,White,2027-08-05,Yes,Himalayan General Insurance,POL-37455861,0,0,False
ME·GA8127,Jennifer Baker,"7622 Todd Mount Apt. 881, South Thomas, WA 21058",2018,Tata,Safari,Gray,2026-07-31,Yes,Prime Life Insurance,POL-51996390,0,0,False
DH·MN8884,Jaclyn Crane,"15940 David Inlet Suite 447, Port Douglasshire, MT 06877",2008,Chevrolet,Malibu,Brown,2026-08-01,Yes,Himalayan General Insurance,POL-79619091,1,238,True
PG·MN907,Elizabeth Campbell,"18510 Olson Inlet Suite 567, Port Dillon, SC 60916",2017,Suzuki,Baleno,Beige,2027-12-13,Yes,Prime Life Insurance,POL-49516346,2,126,False
NA·HA7500,Mary Hernandez,"966 Rachel Junction, Lake Pamelaview, SD 12104",2008,Honda,HR-V,Brown,2025-08-01,Yes,Prabhu Insurance,POL-70516875,0,0,False
BH·CHA7549,Michelle Armstrong,"181 Stephanie Plains Apt. 983, Shawtown, DE 86779",2025,Honda,CR-V,Blue,2027-04-07,Yes,Sagarmatha Insurance,POL-22239481,0,0,False
KO·PA8682,Catherine Smith,"971 Morales Cape, Atkinstown, MA 57781",2010,Nissan,Navara,Gold,2028-06-24,No,,,0,0,False
SA·GA2559,Alexander Rice,"18242 Jonathan Corners, West Stephanie, TX 22677",2006,Hyundai,Creta,Black,2028-01-30,Yes,United Insurance,POL-48759467,2,160,False
LU·PA4246,Tyrone White,"1526 Scott Views Apt. 033, South William, NY 50970",2020,Toyota,Fortuner,Beige,2026-05-18,Yes,United Insurance,POL-41927492,0,0,False
ME·HA7339,Debra Flores,"0630 Spencer Radial, East Kathrynberg, ME 74982",2005,Honda,Jazz,Gold,2024-10-13,Yes,Lumbini General Insurance,POL-37868647,0,0,False
SA·JA701,Bradley Fields,"8238 Ali Point, Williamsmouth, MP 81861",2023,Hyundai,Tucson,Maroon,2028-01-08,Yes,Sagarmatha Insurance,POL-16580878,0,0,False
NA·KA4759,William Smith,"USCGC Nelson, FPO AA 89629",2022,Mahindra,XUV300,Gold,2023-10-16,Yes,Prabhu Insurance,POL-14810369,0,0,False
KO·HA1208,Gregory Chen,"28914 Randall Crossing Apt. 846, New William, AS 42221",2014,Nissan,Navara,Silver,2027-01-11,Yes,Shikhar Insurance,POL-54185620,1,184,False
LU·MN1053,Theresa Reid,"Unit 7435 Box 5379, DPO AA 02581",2021,Honda,Jazz,Maroon,2029-01-21,Yes,Siddhartha Insurance,POL-48545627,0,0,False
GA·MN9523,Brandi Nielsen,"26876 Kristin Run, New Anthonymouth, TX 16677",2024,Mahindra,Bolero,Black,2029-04-05,Yes,United Insurance,POL-76102828,4,1104,False
BH·JA3271,Robert Carey,"017 Mayer Mills, East Juliaview, TX 93456",2019,Toyota,Corolla,White,2027-01-03,Yes,Himalayan General Insurance,POL-92585240,5,775,True
KO·MN3578,Brandon Austin,"75047 Adrian View, Rodriguezview, OK 66079",2013,Toyota,Hilux,Red,2028-01-27,Yes,Lumbini General Insurance,POL-53476321,3,237,False
KO·HA9421,Juan Keller MD,"92124 Nicole Stream, Jamestown, UT 89333",2011,Mahindra,Scorpio,Black,2028-03-29,Yes,United Insurance,POL-73686372,4,860,False
NA·KA7646,Dawn Castro,"056 Hill Springs Suite 758, Lake Jeffreyview, PW 55559",2018,Chevrolet,Trax,Beige,2026-08-29,Yes,Shikhar Insurance,POL-85825317,3,390,False
BA·CHA9560,Emily Myers,"361 James Isle, Bryanville, AK 63411",2009,Tata,Punch,Silver,2026-07-09,Yes,Prime Life Insurance,POL-94088862,1,92,False
PG·CHA9851,Alexander Robles,"USNV Wright, FPO AA 31743",2006,Honda,CR-V,Blue,2026-10-31,Yes,Himalayan General Insurance,POL-59873103,1,293,False
SE·JA2967,Sandra Underwood,"99717 Christopher Circle, South Lawrenceland, WY 17217",2011,Honda,CR-V,White,2028-10-31,Yes,United Insurance,POL-77116153,0,0,False
ME·KA8679,Robert Brown,"10804 Morales River Suite 399, South Patrickchester, FM 81793",2008,Kia,Carnival,Black,2029-03-29,Yes,Everest Insurance,POL-37539747,3,501,False
SE·PA167,Gina Pace,"593 Curtis Ranch Apt. 939, Lake William, MI 55683",2024,Kia,Seltos,Maroon,2028-03-19,Yes,Nepal Insurance Co.,POL-23838227,1,218,False
BA·MN5214,Mr. Cody Taylor,"9685 Silva Plains, East Terrance, PA 45445",2011,Suzuki,Baleno,Gray,2029-05-01,Yes,United Insurance,POL-25790828,0,0,False
JA·PA9268,Wesley Holmes,"38806 Gonzalez Flats, Port Casey, ID 88038",2022,Chevrolet,Malibu,Gray,2028-02-18,Yes,Shikhar Insurance,POL-87052108,0,0,True
DH·JA8956,Michael Mcdonald,"465 Daniel Wells Apt. 730, Lake Jerry, RI 28437",2005,Ford,Ecosport,Black,2030-02-18,No,,,0,0,False
PG·CHA9866,Nicholas Cisneros,"62050 Michael Point Apt. 247, Lake Brenda, WV 47675",2016,Mahindra,Thar,Gold,2027-06-16,Yes,Lumbini General Insurance,POL-20542212,5,1215,False
DH·CHA1622,Allen Gonzalez,"258 Gregory Brooks Apt. 410, South Diana, FM 15045",2014,Ford,Ecosport,Beige,2030-04-30,Yes,United Insurance,POL-41097470,5,430,False
DH·JA6054,Daniel Bryant,"289 Johns Circles Apt. 223, New Nicholas, MN 42175",2015,Nissan,Sentra,Maroon,2028-03-02,Yes,Nepal Insurance Co.,POL-18773168,1,139,False
NA·JA5811,Vanessa Sanchez,"425 Brian Underpass, Moniquehaven, OR 64593",2021,Mahindra,XUV300,Black,2025-09-28,Yes,Sagarmatha Insurance,POL-50549608,1,152,False
LU·MN4092,Brad Ruiz,"86857 White Station, Aliciafort, VT 65354",2017,Chevrolet,Cruze,Beige,2025-03-05,Yes,Siddhartha Insurance,POL-67867771,4,644,False
KO·MN3969,Kevin Little,"33736 Kevin Lane, Port Neil, OH 11610",2007,Hyundai,Venue,Maroon,2030-05-03,Yes,United Insurance,POL-25344154,2,336,False
